Address,SQFT,Price,Parish,Region,BR,BTH
1 WALCOTT AVENUE,1600,9000000,St. Andrew,20,4,2
DUHANEY PARK,1800,9000000,St. Andrew,20,4,2
CENTRAL AVE VINEYARD TOW...,4290,9000000,St. Andrew,3,17,8
HENDERSON AVENUE,2250,8500000,St. Andrew,11,5,4
4 SCARLETT ROAD,1200,10000000,St. Andrew,11,4,2
MT OGLE MAIN ROAD,1328,9700000,St. Andrew,21,2,3
55 AQUALITAVALE AVENUE,1745,9400000,St. Andrew,20,5,2
"MISS LOU CLOSE, KINGSTON",1200,9500000,St. Andrew,20,5,2
BLUE MOUNTAIN CLOSE,8984,11000000,St. Andrew,21,4,3
WALTHAM PARK ROAD,1300,7500000,St. Andrew,11,4,3
7 ARTEMIS PLACE,1500,10000000,St. Andrew,19,4,2
123 BARBICAN ROAD - LOT ...,2000,9000000,St. Andrew,6,4,2
ZENNIA AVENUE,1800,9000000,St. Andrew,11,3,2
CENTRAL PATH,878,10000000,St. Andrew,19,2,1
ZENITH AVENUE,3197,10000000,St. Andrew,17,5,3
GOULBOURNE DISTRICT,750,7500000,St. Andrew,21,2,1
2J WATER STREET,5000,10000000,Kingston,14,7,5
GAYNSTEAD AVENUE,2624,9000000,St. Andrew,20,5,4
MYERS DRIVE,4562,10200000,St. Andrew,8,3,2
1 IDAHO DRIVE,1280,9500000,St. Andrew,19,2,2
CLARK HILL DISTRICT,56791,8500000,St. Andrew,9,3,1
PENNANT TERRACE,4200,9900000,St. Andrew,19,4,3
65 NEPTUNE AVENUE,1000,9400000,St. Andrew,17,3,2
56 CAENWOOD CRESCENT,2245,10000000,St. Andrew,20,5,3
BALDWIN CRESCENT,2200,9100000,St. Andrew,20,4,2
MARS DRIVE,2500,8700000,St. Andrew,17,5,3
PEMBROKE HALL,2000,9000000,St. Andrew,20,3,2
14 DONCASTER DRIVE,1907,9000000,Kingston,2,3,2
18 CAIRNCURRAN AVENUE,1300,9800000,St. Andrew,20,3,2
SWIFT AVENUE,1800,10700000,St. Andrew,20,4,3
RIDGEWAY ROAD,1468,10250000,St. Andrew,19,3,2
ORCHARD AVENUE,1235,10500000,St. Andrew,20,3,1
SIRGANY DRIVE,5660,11000000,Kingston,2,7,3
89 DUHANEY DRIVE,1367,10500000,St. Andrew,20,3,2
10A CASSIA PARK ROAD,,10700000,St. Andrew,10,5,3
AQUALITA VALE AVENUE,1200,12000000,St. Andrew,20,3,2
WIRELESS STATION ROAD,5700,10200000,St. Andrew,9,3,2
12 PEMBROOK HALL CLOSE,1977,10800000,St. Andrew,20,6,3
FAIRDENE AVENUE,1200,11000000,St. Andrew,19,2,2
MAVIS AVENUE,4544,9500000,Kingston,2,3,2
23 AQUALITA VALE AVENUE,1500,11000000,St. Andrew,20,4,2
KEN HILL DRIVE,3499,11200000,St. Andrew,20,3,2
56 CORAL WAY,1900,10000000,St. Andrew,17,4,3
375 DUHANEY PARK,1800,11000000,St. Andrew,20,4,3
"DUHANEY PARK, 2...",1200,11000000,St. Andrew,20,4,2
