Address,SQFT,Price,Parish,Region,BR,BTH
GORE TERRACE,2500,17500000,St. Andrew,10,5,3
20 HUGHENDEN AVENUE,10599,18500000,St. Andrew,20,7,4
MERRICK HIGHWAY,3300,20000000,St. Andrew,19,4,2
4 IVOR,450,19093250,St. Andrew,6,2,1
CHICO CLOSE,2100,17000000,St. Andrew,20,4,3
29 DAYTONA DRIVE,2850,16000000,St. Andrew,20,5,4
22 PEGASUS PLACE,,18900000,St. Andrew,19,5,4
13A COPABAN DRIVE,2090,18155892,St. Andrew,17,3,2
MOUNT ATLAS ROAD,3308,19000000,St. Andrew,21,4,3
WASHINGTON COURT,2700,19000000,St. Andrew,8,4,4
FAREWELL AVE,,17700000,St. Andrew,19,4,2
UPPER WATERLOO CLOSE,1184,18000000,St. Andrew,8,3,2
BELVEDERE ROAD,2000,14300000,St. Andrew,21,4,4
HILLARY AVENUE,2300,18500000,St. Andrew,19,4,3
"BROOK LEVEL, STONEY HILL",1900,16500000,St. Andrew,9,3,2
3 BRENTON DRIVE,1823,16000000,St. Andrew,8,3,2
"48 RELAY ROAD, HUGHENDEN",2500,19500000,St. Andrew,19,5,4
9 MERRIVALE CLOSE,2944,19000000,St. Andrew,8,3,2
BRENTON DRIVE,2229,17000000,St. Andrew,8,4,2
2 PARKLAND DRIVE,1675,19500000,St. Andrew,10,3,3
21 BENBOW CRESCENT,1782,19000000,St. Andrew,20,4,2
112 RIDGEWAY ROAD,1300,19000000,St. Andrew,19,3,2
CARAWINA AVENUE,2000,19000000,St. Andrew,20,4,3
9 ROEHAMPTON AVENUE,2883,17500000,St. Andrew,19,3,4
39 SUNRISE DRIVE,7500,18000000,St. Andrew,20,5,3
6 GOLDEN WAY,3000,19500000,St. Andrew,9,6,4
"MOONLIGHT DRIVE, QUEENSB...",3200,18000000,St. Andrew,19,4,4
29 RIPTON AVE MEADOWBROO...,2500,18000000,St. Andrew,19,5,4
27 WINSOME AVE,1952,18500000,St. Andrew,19,3,4
1 YORO CRES,1300,19650000,St. Andrew,20,4,2
COLBECK AVENUE,3277,18600011,St. Andrew,20,4,3
8 LINSTAR CLOSE,2700,20000000,St. Andrew,19,5,3
WOODLEY DRIVE,3000,18000000,St. Andrew,19,6,4
MOONLIGHT DRIVE,2500,19000000,St. Andrew,19,5,4
TUNBRIDGE,2111,20000000,St. Andrew,19,5,2
MANNINGS HILL ROAD,5000,18000000,St. Andrew,19,8,5
32 FLEMINGTON DRIVE,3000,14500000,Kingston,1,4,3
7 BEDFORD PARK AVENUE,2100,16000000,St. Andrew,10,3,2
HIALEAH DRIVE,8837,17500000,St. Andrew,19,4,2
RANDWICK DRIVE,2000,19000000,St. Andrew,19,4,2
LINDSAY CRESCENT,1817,18000000,St. Andrew,10,6,3
HAVENDALE DRIVE,3200,19500000,St. Andrew,19,4,3
FORT NUGENT DR HARBOUR V...,2000,18000000,St. Andrew,17,6,5
GARLAND AVENUE,2000,20000000,St. Andrew,19,4,3
"BELLEMAR PL, MEADOWBROOK",2200,18500000,St. Andrew,19,4,3
MEADOWBROOK AVE,3250,19000000,St. Andrew,19,4,2
10 BEDRORD PARK AVENUE,1500,20000000,St. Andrew,8,4,3
1 STEEL ROAD,2300,18000000,St. Andrew,21,3,3
2 SALT HILL ROAD,2000,18850000,St. Andrew,21,2,2
NORTH AVENUE,3000,18010000,St. Andrew,10,3,3
16 MARGARET VILLA ROAD,5496,16000000,St. Andrew,10,5,3
HOUSE 11 ROEHAMPTON CLOSE,2554,20000000,St. Andrew,8,6,3
18 LINSCOTT AVENUE,1600,19100000,St. Andrew,19,4,3
"40 WESTLAKE, RICHMOND PK...",1800,18500000,St. Andrew,10,3,1
6 ALDENE DR ZIADIE GARDEN...,1495,17000000,St. Andrew,20,4,3
9 AUBURN TERRACE,2251,16000000,St. Andrew,20,5,3
3 BEATRICE CRESCENT,2300,20500000,St. Andrew,20,5,2
5 HUNTSDENE AVENUE,3445,20000000,St. Andrew,10,4,3
"15 TRUMAN AVE, RICHMOND P...",2200,21200000,St. Andrew,10,5,4
21 BROOKSVILLE TERRACE,8675,16000000,St. Andrew,9,3,3
2 WHEELOCK CLOSE,1500,19000000,St. Andrew,19,4,3
SEAVIEW DRIVE(COPACABANA...,3000,19100000,St. Andrew,17,3,3
43 WEYMOUTH DRIVE,2000,21500000,St. Andrew,20,5,3
17 ORCHARD AVENUE,,19000000,St. Andrew,20,3,2
TWEFIX CRESCENT,1500,18803300,St. Andrew,19,4,2
BORDER AVENUE,2854,20000000,St. Andrew,19,3,3
114 HAVENDALE DRIVE,2130,18000000,St. Andrew,19,5,3
"LOT 102, LIGNUM VITAE DR",2500,20500000,St. Andrew,6,4,4
KINGSWOOD ROAD,2800,20500000,St. Andrew,8,3,2
26 CIRCLE CLOSE,2500,18250000,St. Andrew,21,3,2
HAVENDALE DRIVE,2689,20000000,St. Andrew,19,4,3
"31 EDINBURGH AVE,",6780,17500000,St. Andrew,10,3,2
DRUESDALE AVENUE,8306,19000000,St. Andrew,19,5,3
13 MERRICK HIGHWAY,2200,18500000,St. Andrew,19,4,3
21 EMERALD DRIVE,1800,19000000,St. Andrew,19,5,4
BARBICAN,1700,20000000,St. Andrew,8,3,4
"MARYLAND, JACKS HILL",4528,20500000,St. Andrew,6,5,5
FAIRDENE AVE,22000,19000000,St. Andrew,19,4,4
5 BEDFORD PARK AVENUE,3800,21500000,St. Andrew,10,4,2
48 EAST GREAT HOUSE CIRCL...,12830,19200000,St. Andrew,19,6,3
CRAIG AVENUE,1900,22000000,St. Andrew,8,3,3
86 WEYMOUTH DRIVE,7639,18750000,St. Andrew,20,7,3
RIPTON AVENUE,2500,19500000,St. Andrew,19,3,2
"TOWN ROAD, ROCK HALL DIS...",11200,20700000,St. Andrew,21,5,3
SUNRISE CRESCENT,1500,22000000,St. Andrew,19,4,3
SERPENS WAY,5604,21900000,St. Andrew,19,4,6
58 WOODLANDS CIRCLE,2400,19800000,St. Andrew,21,3,3
BELVEDERE CRESCENT,2000,20000000,St. Andrew,21,4,3
15 ROEHAMPTON DRIVE,27000,21000000,St. Andrew,19,3,3
"40- GORE TERRACE, KINGSTO...",1500,18000000,St. Andrew,10,4,3
ROCHESTER AVENUE,1800,21250000,St. Andrew,8,3,2
ANDREA CLOSE,1749,20000000,St. Andrew,8,4,3
18 RANDWICK DRIVE,4208,18500000,St. Andrew,19,10,9
GROVE DALE DRIVE,1900,18300000,St. Andrew,10,3,2
COOL SHADE DRIVE,13552,20000000,St. Andrew,19,4,2
21 PETUNIA WAY,1800,22000000,St. Andrew,6,3,1
WOODLAWN AVENUE,12906,20000000,St. Andrew,19,5,4
"32 32 GERBERA DRIVE, MONA",2950,22500000,St. Andrew,6,4,3
7 SUNRISE DRIVE,3290,21500000,St. Andrew,19,4,4
30 HAVENDALE DRIVE,3000,21000000,St. Andrew,19,4,3
2 WESTMINISTER CRESCENT,2500,25000000,St. Andrew,10,6,3
BURLINGTON AVENUE,2989,22000000,St. Andrew,10,5,3
ERIN AVE,4500,19000000,St. Andrew,19,5,4
"THE CASITAS,DEANERY CLOS...",2107,21000000,St. Andrew,3,3,4
8 LIGUANEA PLACE,1280,21000000,St. Andrew,6,3,2
"LILLY VALLEY, STONY HILL",21337,20000000,St. Andrew,9,4,4
11A SUNSET DRIVE,,19000000,St. Andrew,8,4,2
"31 RIVERSIDE DRIVE,HAVEND...",1771,20500000,St. Andrew,19,3,2
CLIFTON PLACE,2400,21000000,St. Andrew,8,5,4
11 CLEOPATRA AVENUE,4747,18000000,St. Andrew,19,4,5
VALENTINE GARDENS,2000,19700000,St. Andrew,19,5,4
15 WOODHAVEN AVENUE,2000,25000000,St. Andrew,19,5,3
LAKEHURST DRIVE,3000,22000000,St. Andrew,8,4,4
OLD CHURCH ROAD,2550,20000000,St. Andrew,8,4,3
5 ZIADIE AVENUE,9797,21700000,St. Andrew,20,7,6
ROEHAMPTON CIRCLE,1600,22000000,St. Andrew,19,3,2
LYNDALE AVENUE,2940,21000000,St. Andrew,20,6,4
9 HARWICK AVENUE,1225,23150000,St. Andrew,19,4,3
21 CARLISLE AVENUE,1500,23500000,St. Andrew,8,4,3
HERMITAGE DAM ROAD,3800,179608,St. Andrew,9,4,3
BIRDSUCKER DRIVE,3000,18750000,St. Andrew,8,5,5
SHERBOURNE DRIVE,3116,19000000,St. Andrew,9,4,4
4 MERRIVALE CLOSE,16000,20000000,St. Andrew,19,5,4
CARIBBEAN AVENUE,2200,23000000,St. Andrew,5,3,3
4 PEMBROKE CLOSE,3238,22000000,St. Andrew,19,4,3
LIGUANEA DRIVE,,20000000,St. Andrew,6,3,2
WEST KINGS HOUSE DR.,2000,22000000,St. Andrew,10,3,2
36 CARNATION WAY,1500,23000000,St. Andrew,6,3,2
16 IDAHOE DRIVE,2500,22800000,St. Andrew,19,4,3
5 STEPHENSON AVE. KGN. 8,2000,23000000,St. Andrew,8,4,2
FLEMINGTON DRIVE,4280,23000000,St. Andrew,19,4,3
STANLEY TERRACE,3090,23500000,St. Andrew,19,4,4
BROOK LEVEL ROAD,1400,24500000,St. Andrew,9,3,2
34 CANDLELIGHT CRESCENT,2300,22400000,St. Andrew,19,4,3
33 BLISSETT AVENUE,4453,23500000,St. Andrew,20,5,4
20 STERLING GLADES,15642,23700000,St. Andrew,21,5,4
9 CONSTANT SPRING GROVE,6686,21500000,St. Andrew,10,6,3
SILVIDORE THREE OAKS GRD,2500,23000000,St. Andrew,20,5,3
15 WICKHAM AVENUE,1965,23000000,St. Andrew,8,3,2
FRASER CRESCENT,3200,23000000,St. Andrew,21,4,4
CAMELIA WAY,3588,23000000,St. Andrew,6,6,5
5 BRIDGEMOUNT HEIGHTS,4000,20000000,St. Andrew,9,5,5
22 DAYTONA DR PATRK. CIT...,3300,22000000,St. Andrew,20,7,4
21 PARK AVENUE,2755,24500000,St. Andrew,19,4,3
ARALIA DRIVE,1800,26000000,St. Andrew,6,3,1
4 HIGHLAND CLOSE,2000,27550000,St. Andrew,19,4,3
21 SHERBOURNE CLOSE,14584,21000000,St. Andrew,19,7,7
14 KEESING AVE,2273,22000000,St. Andrew,10,4,4
LOT 1 21,4000,24100000,St. Andrew,19,4,4
TUNBRIDGE CLOSE,3528,24150000,St. Andrew,19,4,3
"3 CLAYMORE WAY, KGN 19",1800,20500000,St. Andrew,19,4,3
SUNRISE CRESCENT,2000,19000000,St. Andrew,19,3,3
STERLING CASTLE CLOSE,17000,21000000,St. Andrew,19,4,3
11 ARIS AVENUE,4000,24500000,St. Andrew,19,4,5
46 DARLEY CRESCENT,6145,24500000,St. Andrew,20,5,3
LAKEHURST DRIVE,1800,24000000,St. Andrew,8,3,3
SERPEN AVENUE,3000,24000000,St. Andrew,19,3,3
31 MORNINGSIDE DRIVE,3243,26000000,St. Andrew,19,6,4
38 FLEMINGTON DRIVE,3094,24700000,St. Andrew,19,4,3
HOPE PASTURES,2000,209500,St. Andrew,6,3,2
"ASTON RIDGE, STONY HILL",44000,23000000,St. Andrew,9,4,4
4 WEST OAKRIDGE,3915,24000000,St. Andrew,8,6,5
KINGSHOUSE AVENUE,2000,22500000,St. Andrew,6,4,2
HERMITAGE DAM ROAD,2500,23500000,St. Andrew,8,4,3
BANANA WALK,8000,22900000,Kingston,1,3,2
SHORTWOOD GROVE,13204,21000000,St. Andrew,8,3,2
4 ROCKHAMPTON DRIVE,4015,23500000,St. Andrew,8,4,3
1 21 ROAD,2947,22000000,St. Andrew,21,3,3
ALLERDYCE,2000,23000000,St. Andrew,8,3,2
10 STILLWELL AVENUE,3319,25000000,St. Andrew,8,3,3
PARKIN CLOSE,2398,22000000,St. Andrew,8,4,4
19 BELVEDERE CRESCENT,3225,23000000,St. Andrew,19,3,3
DRUMBLAIR CRESCENT,2500,20500000,St. Andrew,8,5,5
FAIRVIEW AVENUE,1800,21000000,St. Andrew,10,3,2
22 ALLERDYCE DRIVE,2568,24500000,St. Andrew,8,4,3
61 ARIES AVENUE,2158,24500000,St. Andrew,8,4,2
3 GREENWOOD DRIVE,3000,19500000,St. Andrew,19,5,3
4 EAST RIVERSIDE DRIVE,2808,19500000,St. Andrew,19,6,3
"CRAIG HILL, 21",8093,20000000,St. Andrew,21,4,3
SWAIN SPRING ROAD,2310,22000000,St. Andrew,21,6,4
16 ROCKY ROAD,2879,25000000,St. Andrew,19,4,3
HURLINGHAM DRIVE,2200,23500000,St. Andrew,19,4,2
10 SOUTH MONTEREY,2300,29000000,St. Andrew,6,3,2
3 CONSTANT SPRING GROVE,2200,26000000,St. Andrew,8,5,3
35B CHRISTOPHER DRIVE,1900,24500000,St. Andrew,9,4,4
15 HIALEAH DRIVE,2390,25200000,St. Andrew,19,4,2
"7 CHARLTON AVENUE, LOT 5",3544,24500000,St. Andrew,8,5,5
14 PONCIANA GROVE,2000,25800000,St. Andrew,19,4,2
6 SUNDOWN CRESCENT,1500,25000000,St. Andrew,10,5,3
"EMBERS WAY, 21",1689,22500000,St. Andrew,19,4,2
QUEENSBOROUGH DRIVE,1600,25000000,St. Andrew,19,3,3
2C ALPHANSO AVENUE,7000,24000000,St. Andrew,10,7,4
ROCHESTER AVENUE,2600,23000000,St. Andrew,8,4,2
465 ARIES AVENUE,3439,23000000,St. Andrew,8,3,3
FOSTER DAVIS DRIVE,2200,26350000,St. Andrew,6,3,2
22 GLENDON DRIVE,2500,23500000,St. Andrew,10,4,3
lot 2-11 WHALLEY CLOSE,3260,26000000,St. Andrew,6,4,4
BELVEDERE ROAD,3733,23000000,St. Andrew,19,4,5
"CARIBBEAN CL.,TRFLGR PK",2100,25000000,St. Andrew,10,4,4
HILL VIEW TERRACE,304,25000000,St. Andrew,19,6,5
COOLSHADE DRIVE,2803,23500000,St. Andrew,19,5,4
12 BIRDSUCKER MEWS,2000,23500000,St. Andrew,6,3,3
KINGS DRIVE,3190,21700000,St. Andrew,6,5,3
2 CARMELO DRIVE,5493,23500000,St. Andrew,8,6,5
"LOT 26, MOUNT SALAS ROAD",24831,26000000,St. Andrew,21,7,5
HIGHLAND DRIVE,9230,24000000,St. Andrew,19,4,4
BELCOUR LODGE,200,23600000,St. Andrew,21,3,4
LIGUANEA PLACE,1700,24500000,St. Andrew,6,4,3
ADDINGTON DRIVE,4000,26000000,St. Andrew,19,6,4
5B OLD STONY HILL ROAD,1800,21924468,St. Andrew,9,3,2
THREE VIEWS AVENUE,3359,26000000,St. Andrew,19,4,3
"8 LERIS CLOSE, MEADOWBROO...",2500,26100000,St. Andrew,19,4,3
MOUNT ATLAS ESTATE,32800,20000000,St. Andrew,21,4,3
"BORDER AVENUE, HAVENDALE",3885,24600000,St. Andrew,19,4,4
9 WATERVALE AVENUE,5000,27000000,St. Andrew,19,5,3
8 LYDIA DRIV,2600,24000000,St. Andrew,19,3,2
1 BARRINGTON DRIVE,2138,25000000,St. Andrew,19,5,5
ARALIA DRIVE,1400,32000000,St. Andrew,6,3,2
8 BELVEDERE ROAD,2982,29000000,St. Andrew,19,5,4
14 HAYLET AVENUE,2000,25000000,St. Andrew,19,5,3
1 APHRODITE PLACE,3641,26500000,St. Andrew,19,4,3
7 SOUTH MONTEREY DRIVE,10890,24000000,St. Andrew,6,3,2
13 KEBLE CRESCENT,2120,25500000,St. Andrew,6,4,3
6 SANDRICH AVENUE,3000,23500000,St. Andrew,6,6,4
54 BELVEDERE ROAD,4149,24000000,St. Andrew,21,5,4
Lot 6 PINE VIEW,10767,22500000,St. Andrew,21,4,4
4 WICKHAM AVENUE,2200,26000000,St. Andrew,8,4,2
BLUE MOUNTAIN RD,4000,22000000,St. Andrew,21,7,3
5A CHARLTON AVE,2110,25700000,St. Andrew,8,5,4
FORSYTHE DRIVE,13325,24000000,St. Andrew,6,4,2
3 BLAISE CLOSE,2200,24000000,St. Andrew,8,3,3
9 KNIGHTSDALE DRIVE,5000,24000000,St. Andrew,19,8,6
214 CHANCERY HALL,12955,20500000,St. Andrew,19,4,3
4 SAVOY TERRACE,2000,24500000,St. Andrew,9,3,2
9 WEST KINGS HOUSE DRIVE,2822,25000000,St. Andrew,10,3,3
35 DURIE DRIVE,2700,24500000,St. Andrew,8,4,4
HERMITAGE DAM ROAD,3500,27000000,St. Andrew,8,3,3
"8 SUNSET DRIVE , KGN 10",14000,23500000,Kingston,1,4,2
56D BRENTWOOD TERRACE,,27000000,St. Andrew,19,3,2
HOPE PASTURES,1650,28000000,St. Andrew,6,3,2
SUNSHINE CLOSE,3900,27000000,St. Andrew,17,4,4
23 RANDWICK DR.,2500,30000000,St. Andrew,19,4,3
CLARKS HILL DISTRICT,1799,25000000,St. Andrew,9,4,3
10 CARIBBEAN AVENUE,1482,30000000,St. Andrew,10,3,2
4 TORRIE AVENUE,,25500000,St. Andrew,8,4,2
19 MERRIVALE AVENUE,3000,25000000,St. Andrew,8,7,5
3 WEDCOMBE AVENUE,2182,22000000,St. Andrew,8,4,4
"WILLOW RUN, STONY HILL",2049,21500000,St. Andrew,9,4,3
5 BELVEDERE ROAD,3586,25500000,St. Andrew,19,4,3
BRENTWOOD TERRACE,4827,23000000,St. Andrew,19,5,5
61 BORDER AVENUE,1500,25000000,St. Andrew,19,5,4
9 PINE ACRES,15000,25000000,St. Andrew,21,3,4
DAISY AVENUE,2500,27000000,St. Andrew,6,3,4
7 UPPER MONTROSE ROAD,1568,28500000,St. Andrew,6,4,2
LOT NO.7 ORDON CLOSE,4000,26000000,St. Andrew,9,3,3
PALMETTO AVENUE,2200,26000000,St. Andrew,6,6,3
GERBERA DRIVE,2300,23000000,St. Andrew,6,5,3
BORDER AVENUE,3000,25000000,St. Andrew,19,7,4
OLD CHURCH ROAD,3000,26000000,St. Andrew,8,4,4
"10 SPRING WAY, WATERWORKS",2400,26500000,St. Andrew,8,4,3
MADISON DRIVE,2000,25500000,St. Andrew,19,3,2
10 GREENWOOD DRIVE,2500,26250000,St. Andrew,19,4,2
HALCOT CRESCENT,1800,25000000,St. Andrew,8,5,3
22 MORETON PARK AVENUE,6600,21000000,St. Andrew,10,4,3
3 STRATHDON ROAD,,24000000,St. Andrew,8,4,2
1 LIGUANEA PLACE,5279,25800000,St. Andrew,6,3,2
2 BIRDSUCKER MEWS,1766,28000000,St. Andrew,8,3,2
GARTH ROAD,2800,26500000,St. Andrew,8,4,3
"FOREST HILL GRD, RED HIL...",2550,25618568,St. Andrew,21,4,4
22 MADISON DRIVE,,25655031,St. Andrew,19,4,3
3 WHITTINGHAM AVE AYLSHA...,2200,26000000,St. Andrew,8,3,
11 STERLING CASTLE CLOSE,3000,28500000,St. Andrew,21,6,6
TANKERVILLE AVENUE,12818,28750000,St. Andrew,6,4,3
9 BUTTERCUP DRIVE,900,32000000,St. Andrew,7,3,2
40 HILLVIEW TERRACE,2231,27500000,St. Andrew,19,5,4
DEMETER PLACE,1500,28235437,St. Andrew,19,3,2
LAKEHURST DRIVE,4000,28300000,St. Andrew,8,4,4
8 WESTRIDGE CLOSE,4134,28000000,St. Andrew,19,5,4
INNSWOOD DRIVE,2500,28000000,St. Andrew,8,4,2
MILVERTON CRESCENT,2932,29000000,St. Andrew,6,4,2
"AIRY CASTLE, STONY HILL",52515,24000000,St. Andrew,9,4,3
BARTON AERIE,11000,25000000,St. Andrew,8,4,5
27 HART BOULEVARD,2000,27500000,St. Andrew,6,4,2
MORNINGSIDE DRIVE,3200,26500000,St. Andrew,19,4,3
28 ASQUITH DRIVE,4165,24000000,St. Andrew,21,5,4
9 HARMONY FARM ROAD,3200,31000000,St. Andrew,8,4,4
MOUNT SALUS ROAD,2700,24500000,St. Andrew,21,4,3
"6 GERBERA DRIVE, MONA",7001,30500000,St. Andrew,6,3,2
9 UPPER SANDRINGHAM AVENU...,3000,30000000,St. Andrew,10,6,4
15 ORCHID PATH,1800,33000000,St. Andrew,6,3,2
28 COOLWATER AVENUE,2000,30500000,St. Andrew,19,3,2
PIGEON VALLEY ROAD,3000,27500000,St. Andrew,9,4,3
PEMENTO CIRCLE,2200,27300000,St. Andrew,21,3,3
22 CIRCLE CLOSE,5026,25000000,St. Andrew,19,6,5
19,2892,26700000,St. Andrew,19,4,2
6 PERSEUS CLOSE,3000,34000000,St. Andrew,19,4,4
8 HOPE CLOSE,9078,27650000,St. Andrew,6,4,4
HIGHLAND DRIVE,12687,28750000,St. Andrew,19,4,3
MAYFAIR AVENUE,3000,29000000,St. Andrew,19,5,4
1 HORATIO CLOSE,7000,26000000,St. Andrew,21,4,3
44 WESTMINSTER ROAD,3000,29700000,St. Andrew,10,4,2
LEIGHTON RD COLLINS GREE...,3000,30500000,St. Andrew,5,5,2
FORT GEORGE HEIGHTS,6000,30000000,St. Andrew,9,4,5
"89A KIMBERLY AVENUE, KING...",6000,28500000,St. Andrew,21,4,5
MOUNT ATLAS DRIVE,3672,27000000,St. Andrew,21,4,3
8 WASHINGTON DRIVE,5117,30000000,St. Andrew,6,7,4
6 1/4 NORBROOK DRIVE,3200,28100000,St. Andrew,8,4,2
46 DURIE DRIVE,2275,30000000,St. Andrew,8,4,4
ULYSSES CLOSE,3800,28000000,St. Andrew,21,4,4
SHORTWOOD ROAD KGN 8,3000,28500000,St. Andrew,8,4,4
10 QUEENSWAY,3500,24000000,St. Andrew,10,4,4
9 ELLIOT AVE ACADIA,2565,26500000,St. Andrew,8,4,3
COURTNEY DRIVE,2000,28500000,St. Andrew,10,3,2
EAST KIRKLAND HEIGHTS,7700,25000000,St. Andrew,19,12,8
HOPE PASTURES,2535,30000000,St. Andrew,6,4,3
3 BISCAYNE CLOSE,2506,23000000,St. Andrew,8,4,3
LOT 4 SWAIN SPRING ROAD,3536,29000000,St. Andrew,21,3,2
9A WIDCOMBE ROAD,2900,29000000,St. Andrew,6,3,2
6 MONTGOMERY DRIVE,4035,27000000,St. Andrew,9,5,4
HARMONY FARM,6405,32000000,St. Andrew,8,5,4
CIRCLE CLOSE,3200,27500000,St. Andrew,19,4,3
Lot 45D-45 STANMORE TERRA...,5000,25000000,St. Andrew,19,5,3
"COPABAN, COPACABANA",5256,22500000,St. Andrew,17,9,4
4 HIBISCUS CLOSE,1700,29000000,St. Andrew,8,4,3
ANDREWS PEN LANE,4000,25000000,St. Andrew,6,12,4
OLD CHURCH ROAD,12267,32000000,St. Andrew,10,3,2
8 DUBLIN CASTLE CLOSE,2500,27000000,St. Andrew,21,4,4
KEITH CLOSE,3460,28000000,St. Andrew,19,4,3
BARRINGTON AVENUE,13700,30500000,St. Andrew,19,4,3
LILY WAY,2800,30000000,St. Andrew,9,3,2
52 DAISY AVENUE,1200,34000000,St. Andrew,6,3,2
26 MERRICK HIGHWAY,1800,28000000,St. Andrew,19,7,3
RAINBOW CRESCENT,19000,1255782502,St. Andrew,8,5,3
CADIZ CLOSE,5000,30259819,St. Andrew,19,7,5
9 VIOLET AVENUE,2866,29500000,St. Andrew,6,6,5
STONY HILL ( ASTON RIDGE...,3657,26000000,St. Andrew,8,3,4
35 CHANCERY CLOSE,21785,28000000,St. Andrew,19,4,3
14 DEVON CLOSE,5500,31000000,St. Andrew,10,5,4
36A EAST OAKRIDGE,3000,31500000,St. Andrew,8,3,3
17 SALISBURY AVENUE,2300,38000000,St. Andrew,6,4,2
55 ARIES AVENUE,2500,26000000,St. Andrew,19,3,3
AIRES AVENUE,4300,24200000,St. Andrew,19,6,4
NORWAY TERRACE,10000,31400000,St. Andrew,8,4,4
Lot #3 FOREST HILL DRIVE,4000,5000000,St. Andrew,19,5,4
6 CORNWALL CLOSE,13735,27000000,St. Andrew,5,3,2
"9 DRUMBLAIR CLOSE,",3000,29000000,St. Andrew,10,3,3
2 GLENALMOND DRIVE,2000,32000000,St. Andrew,8,4,3
PHADRIAN AVENUE,3125,30000000,St. Andrew,6,5,3
"ROCKFIELD CLSE, STONYHIL...",4600,27000000,St. Andrew,9,3,4
12 ANTHURIUM DRIVE,1000,30000000,St. Andrew,6,3,2
CHARLEMONT DRIVE,2000,31000000,St. Andrew,6,3,2
MONA ROAD,2673,29000000,St. Andrew,6,9,4
ORANGE GROVE,2175,26500000,St. Andrew,8,3,3
ALLERDYCE DRIVE,12092,29500000,St. Andrew,8,4,2
WEST KIRKLAND HEIGHTS,3000,22000000,St. Andrew,21,4,3
COOPERS HILL,3200,30000000,St. Andrew,21,4,4
25 QUEENS AVENUE,7986,30000000,St. Andrew,10,18,10
7 ELMWOOD TERRACE,3800,31500000,St. Andrew,19,4,3
WEST KINGS HOUSE DRIVE,1800,28000000,St. Andrew,10,4,2
14 1/2 FOSTER DAVIS DRIV...,1800,30000000,St. Andrew,6,4,3
13 BRYN MAWR AVENUE,2500,31500000,St. Andrew,10,5,3
DRUESDALE AVENUE,2400,32050000,St. Andrew,19,5,3
CLIFTON CLOSE,7153,32000000,St. Andrew,8,5,3
11 KIRKLAND CLOSE,4000,30000000,St. Andrew,21,4,3
2 TEWFIX DRIVE,2000,29000000,St. Andrew,20,4,4
MOTTLEY AVENUE,2100,30000000,St. Andrew,20,3,2
6 MIDLAND DRIVE,6587,34500000,St. Andrew,10,6,4
4 CHRISTOPHER DRIVE,4000,33000000,St. Andrew,9,4,3
6 BANANA WALK ORANGE GROV...,16010,28000000,St. Andrew,8,4,5
VALLEY CLOSE,4300,28842500,St. Andrew,8,8,5
20 DURIE DRIVE,3506,33500000,St. Andrew,8,3,3
22 KINGS HOUSE AVENUE,,29000000,St. Andrew,6,5,4
14 1/2 WIDCOME ROAD,3214,30000000,St. Andrew,6,4,4
21 ROAD,1800,22000000,St. Andrew,19,4,3
MILVERTON CRESCENT,2800,30200000,St. Andrew,6,4,3
KARACHO,1900,31000000,St. Andrew,6,3,2
ROSEBERRY DRIVE,16481,30100000,St. Andrew,8,5,4
CARIBBEAN CLOSE,2000,31500000,St. Andrew,5,4,3
KIMBERLEY AVENUE,3120,31000000,St. Andrew,19,4,3
WILTSHIRE AVENUE,3000,27000000,St. Andrew,6,3,3
13 BEGRADE LOOP,3958,32650000,St. Andrew,8,4,4
5 LIGUANEA PLACE,1500,35000000,St. Andrew,6,4,3
ARALIA DRIVE,1800,37000000,St. Andrew,6,3,1
4 HALART DRIVE,10000,33285801,St. Andrew,5,3,3
"23 BANANA WALK,",2300,24000000,St. Andrew,8,3,2
SHERBOURNE PARK,2000,30000000,St. Andrew,9,3,4
SANDALE CRESENT,3500,32560000,St. Andrew,8,5,5
11A WEST OAKRIDGE,5000,32100000,St. Andrew,8,7,4
ELLERSLIE WAY,4000,34000000,St. Andrew,21,4,3
CHARLEMONT DRIVE,4600,32600000,St. Andrew,6,6,4
LAKEHURST DRIVE,,29000000,St. Andrew,8,,
62 ARIES AVENUE,5500,33000000,St. Andrew,19,5,4
21 SUMMIT DRIVE,3000,30000000,St. Andrew,8,4,3
22 BELVEDERE CRESCENT,4000,28000000,St. Andrew,21,3,4
"WILLOW RUN, STONY HILL",2805,30000000,St. Andrew,9,4,4
GLENDON CIRCLE,33000,34000000,St. Andrew,6,6,4
26 BARRINGTON DRIVE,14000,27000000,St. Andrew,19,5,3
6 PADDINGTON CLOSE,2500,30000000,St. Andrew,6,3,2
4 CARLISLE AVENUE,2800,31500000,St. Andrew,8,6,3
13 ROSEBERRY DRIVE,2388,29200726,St. Andrew,8,3,3
15 LORD NELSON DRIVE,20376,31000000,St. Andrew,19,4,4
8 MONTGOMERY WAY,2833,32000000,St. Andrew,9,4,3
5 LORDS ROAD,8100,35000000,St. Andrew,5,3,2
LOTS 4-5A SKYLINE DRIVE,9660,30000000,St. Andrew,7,7,5
OAKRIDGE ROAD,1800,26000000,St. Andrew,8,4,4
WEST ARMOUR HEIGHTS,88000,21400000,St. Andrew,8,4,4
8 WORTHINGTON TERRACE,13686,35000000,St. Andrew,5,5,4
8 ORANGE GROVE,2500,32500000,St. Andrew,8,3,3
